network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UMDS_0,UMDS_1,UMDS_2,average_depth,time_1,time_2
ER+ER,1000,3.3,4,294,291,211,208,502,494,450,1.25,0.4810025691986084,0.0351862907409668
ER+ER,1000,3.3,5,294,291,213,210,504,492,450,1.1481481481481481,0.48517918586730957,0.035246849060058594
ER+ER,1000,3.3,6,294,291,214,211,505,487,450,1.1818181818181819,0.49750757217407227,0.03705024719238281
ER+ER,1000,3.3,7,294,291,201,198,492,491,450,1.4285714285714286,0.47678589820861816,0.0360102653503418
ER+ER,1000,3.3,8,294,291,208,205,499,491,450,1.346938775510204,0.48112964630126953,0.035518646240234375
ER+ER,1000,3.3,9,294,291,208,205,499,491,450,1.183673469387755,0.47418737411499023,0.03446841239929199
ER+ER,1000,3.4,0,286,275,212,201,487,477,430,1.3157894736842106,0.4675161838531494,0.03757333755493164
ER+ER,1000,3.4,1,286,275,211,200,486,473,430,1.4642857142857142,0.46506810188293457,0.03856205940246582
ER+ER,1000,3.4,2,286,275,211,200,486,473,430,1.1607142857142858,0.46228718757629395,0.03601431846618652
ER+ER,1000,3.4,3,286,275,207,196,482,477,430,1.5192307692307692,0.473984956741333,0.03864264488220215
ER+ER,1000,3.4,4,286,275,215,204,490,476,430,1.3333333333333333,0.46387219429016113,0.03864765167236328
ER+ER,1000,3.4,5,286,275,208,197,483,476,430,1.169811320754717,0.46542787551879883,0.03506016731262207
ER+ER,1000,3.4,6,286,275,207,196,482,473,430,1.3076923076923077,0.46256113052368164,0.03643441200256348
ER+ER,1000,3.4,7,286,275,213,202,488,474,430,1.2413793103448276,0.47272229194641113,0.03722524642944336
ER+ER,1000,3.4,8,286,275,212,201,487,474,430,1.368421052631579,0.46857333183288574,0.03840899467468262
ER+ER,1000,3.4,9,286,275,210,199,485,476,430,1.3636363636363635,0.4678056240081787,0.03846025466918945
ER+ER,1000,3.5,0,274,260,206,192,466,459,416,1.1,0.4900243282318115,0.030981063842773438
ER+ER,1000,3.5,1,274,260,207,193,467,456,416,1.196078431372549,0.47489261627197266,0.032521963119506836
ER+ER,1000,3.5,2,274,260,214,200,474,456,416,1.1551724137931034,0.4863457679748535,0.03405308723449707
ER+ER,1000,3.5,3,274,260,207,193,467,459,416,1.0980392156862746,0.48931002616882324,0.031717777252197266
ER+ER,1000,3.5,4,274,260,206,192,466,459,416,1.14,0.47803831100463867,0.03200864791870117
ER+ER,1000,3.5,5,274,260,209,195,469,457,416,1.1886792452830188,0.4758467674255371,0.032639503479003906
ER+ER,1000,3.5,6,274,260,213,199,473,454,416,1.1403508771929824,0.47441768646240234,0.033761024475097656
ER+ER,1000,3.5,7,274,260,207,193,467,455,416,1.0784313725490196,0.493884801864624,0.03134942054748535
ER+ER,1000,3.5,8,274,260,212,198,472,456,416,1.2321428571428572,0.4941079616546631,0.03443598747253418
ER+ER,1000,3.5,9,274,260,213,199,473,458,416,1.1754385964912282,0.4906275272369385,0.03412771224975586
ER+ER,1000,3.6,0,243,254,184,195,438,422,374,1.234375,0.5227062702178955,0.034477949142456055
ER+ER,1000,3.6,1,243,254,181,192,435,421,374,1.2459016393442623,0.5073802471160889,0.03419208526611328
ER+ER,1000,3.6,2,243,254,181,192,435,421,374,1.180327868852459,0.5109884738922119,0.03341174125671387
ER+ER,1000,3.6,3,243,254,183,194,437,424,374,1.0952380952380953,0.5088582038879395,0.03186535835266113
ER+ER,1000,3.6,4,243,254,180,191,434,419,374,1.2333333333333334,0.5259292125701904,0.03292083740234375
ER+ER,1000,3.6,5,243,254,177,188,431,424,374,1.2456140350877194,0.5054018497467041,0.038469791412353516
ER+ER,1000,3.6,6,243,254,177,188,431,423,374,1.1929824561403508,0.5289106369018555,0.03378415107727051
ER+ER,1000,3.6,7,243,254,177,188,431,422,374,1.1578947368421053,0.5232887268066406,0.03084564208984375
ER+ER,1000,3.6,8,243,254,182,193,436,422,374,1.1935483870967742,0.523486852645874,0.03459739685058594
ER+ER,1000,3.6,9,243,254,174,185,428,421,374,1.3518518518518519,0.5077311992645264,0.033064842224121094
ER+ER,1000,3.7,0,250,227,193,170,420,412,368,1.2307692307692308,0.5419361591339111,0.0320589542388916
ER+ER,1000,3.7,1,250,227,194,171,421,412,368,1.2264150943396226,0.5283203125,0.03296709060668945
ER+ER,1000,3.7,2,250,227,196,173,423,411,368,1.3454545454545455,0.5503668785095215,0.03537797927856445
ER+ER,1000,3.7,3,250,227,191,168,418,414,368,1.32,0.520230770111084,0.03278517723083496
ER+ER,1000,3.7,4,250,227,197,174,424,413,368,1.25,0.5420536994934082,0.036490678787231445
ER+ER,1000,3.7,5,250,227,195,172,422,412,368,1.2592592592592593,0.5478866100311279,0.03368973731994629
ER+ER,1000,3.7,6,250,227,185,162,412,408,368,1.4545454545454546,0.5278620719909668,0.03454256057739258
ER+ER,1000,3.7,7,250,227,194,171,421,411,368,1.2075471698113207,0.5357997417449951,0.032581329345703125
ER+ER,1000,3.7,8,250,227,191,168,418,411,368,1.3,0.5200910568237305,0.03387904167175293
ER+ER,1000,3.7,9,250,227,195,172,422,413,368,1.2037037037037037,0.5288121700286865,0.033422231674194336
ER+ER,1000,3.8,0,228,244,163,179,407,403,354,1.2264150943396226,0.5297439098358154,0.03208661079406738
ER+ER,1000,3.8,1,228,244,170,186,414,403,354,1.1833333333333333,0.5433721542358398,0.03294992446899414
ER+ER,1000,3.8,2,228,244,173,189,417,402,354,1.2063492063492063,0.534287691116333,0.03548145294189453
ER+ER,1000,3.8,3,228,244,174,190,418,404,354,1.171875,0.5484237670898438,0.03402376174926758
ER+ER,1000,3.8,4,228,244,173,189,417,404,354,1.2698412698412698,0.528235912322998,0.03739595413208008
ER+ER,1000,3.8,5,228,244,170,186,414,402,354,1.1833333333333333,0.5168676376342773,0.03340458869934082
ER+ER,1000,3.8,6,228,244,172,188,416,402,354,1.1451612903225807,0.5379281044006348,0.03238558769226074
ER+ER,1000,3.8,7,228,244,180,196,424,406,354,1.2,0.5400121212005615,0.034646034240722656
ER+ER,1000,3.8,8,228,244,173,189,417,402,354,1.2222222222222223,0.5294332504272461,0.03692626953125
ER+ER,1000,3.8,9,228,244,177,193,421,402,354,1.164179104477612,0.5310766696929932,0.0348660945892334
ER+ER,1000,3.9,0,231,234,181,184,415,402,358,1.2456140350877194,0.5904960632324219,0.032587528228759766
ER+ER,1000,3.9,1,231,234,186,189,420,404,358,1.2096774193548387,0.5773189067840576,0.03391599655151367
ER+ER,1000,3.9,2,231,234,185,188,419,406,358,1.180327868852459,0.5781092643737793,0.03570222854614258
ER+ER,1000,3.9,3,231,234,177,180,411,403,358,1.169811320754717,0.5736682415008545,0.030915498733520508
ER+ER,1000,3.9,4,231,234,177,180,411,405,358,1.2264150943396226,0.5872673988342285,0.03271746635437012
ER+ER,1000,3.9,5,231,234,173,176,407,403,358,1.2653061224489797,0.572213888168335,0.03322768211364746
ER+ER,1000,3.9,6,231,234,180,183,414,403,358,1.2142857142857142,0.5788774490356445,0.03324246406555176
ER+ER,1000,3.9,7,231,234,181,184,415,401,358,1.1929824561403508,0.5817430019378662,0.031296730041503906
ER+ER,1000,3.9,8,231,234,174,177,408,401,358,1.26,0.5880076885223389,0.03422427177429199
ER+ER,1000,3.9,9,231,234,175,178,409,399,358,1.1568627450980393,0.5784680843353271,0.030235767364501953
ER+ER,1000,4.0,0,221,212,186,177,398,387,344,1.2592592592592593,0.589759349822998,0.04450798034667969
ER+ER,1000,4.0,1,221,212,183,174,395,385,344,1.3333333333333333,0.5820772647857666,0.044634103775024414
ER+ER,1000,4.0,2,221,212,184,175,396,384,344,1.2307692307692308,0.5791234970092773,0.04213881492614746
ER+ER,1000,4.0,3,221,212,185,176,397,387,344,1.3773584905660377,0.5770280361175537,0.04711198806762695
ER+ER,1000,4.0,4,221,212,187,178,399,388,344,1.290909090909091,0.5755524635314941,0.04798603057861328
ER+ER,1000,4.0,5,221,212,181,172,393,385,344,1.3061224489795917,0.5736947059631348,0.04191732406616211
ER+ER,1000,4.0,6,221,212,187,178,399,384,344,1.309090909090909,0.573570966720581,0.0490264892578125
ER+ER,1000,4.0,7,221,212,182,173,394,386,344,1.4,0.5708475112915039,0.042044639587402344
ER+ER,1000,4.0,8,221,212,174,165,386,383,344,1.4047619047619047,0.567507266998291,0.04059720039367676
ER+ER,1000,4.0,9,221,212,179,170,391,386,344,1.3191489361702127,0.5923318862915039,0.043950796127319336
ER+ER,1000,4.1,0,200,189,152,141,341,337,298,1.372093023255814,0.592454195022583,0.04616689682006836
ER+ER,1000,4.1,1,200,189,156,145,345,340,298,1.4042553191489362,0.6265356540679932,0.04973626136779785
ER+ER,1000,4.1,2,200,189,162,151,351,335,298,1.169811320754717,0.6026754379272461,0.04718613624572754
ER+ER,1000,4.1,3,200,189,160,149,349,339,298,1.3725490196078431,0.5868682861328125,0.04965019226074219
ER+ER,1000,4.1,4,200,189,158,147,347,336,298,1.4081632653061225,0.5944044589996338,0.04115653038024902
ER+ER,1000,4.1,5,200,189,166,155,355,338,298,1.3157894736842106,0.6043844223022461,0.04906773567199707
ER+ER,1000,4.1,6,200,189,164,153,353,333,298,1.2181818181818183,0.5965173244476318,0.04265928268432617
ER+ER,1000,4.1,7,200,189,155,144,344,338,298,1.2608695652173914,0.5934879779815674,0.03867697715759277
ER+ER,1000,4.1,8,200,189,164,153,353,339,298,1.2,0.5817465782165527,0.04970097541809082
ER+ER,1000,4.1,9,200,189,156,145,345,340,298,1.297872340425532,0.6030838489532471,0.04014754295349121
ER+ER,1000,4.2,0,198,209,159,170,368,358,312,1.1607142857142858,0.5817749500274658,0.02901005744934082
ER+ER,1000,4.2,1,198,209,159,170,368,361,312,1.2678571428571428,0.5777633190155029,0.029297828674316406
ER+ER,1000,4.2,2,198,209,165,176,374,361,312,1.1774193548387097,0.57926344871521,0.029078245162963867
ER+ER,1000,4.2,3,198,209,163,174,372,358,312,1.0833333333333333,0.574016809463501,0.02660369873046875
ER+ER,1000,4.2,4,198,209,159,170,368,355,312,1.1785714285714286,0.5731544494628906,0.02833414077758789
ER+ER,1000,4.2,5,198,209,161,172,370,360,312,1.3448275862068966,0.5692071914672852,0.03141951560974121
ER+ER,1000,4.2,6,198,209,162,173,371,360,312,1.305084745762712,0.5716922283172607,0.029724836349487305
ER+ER,1000,4.2,7,198,209,162,173,371,363,312,1.2881355932203389,0.5539593696594238,0.03201651573181152
ER+ER,1000,4.2,8,198,209,164,175,373,358,312,1.2622950819672132,0.5776162147521973,0.029867172241210938
ER+ER,1000,4.2,9,198,209,165,176,374,356,312,1.1612903225806452,0.5855321884155273,0.028514385223388672
ER+ER,1000,4.3,0,192,195,156,159,351,341,294,1.2105263157894737,0.6427023410797119,0.031188488006591797
ER+ER,1000,4.3,1,192,195,153,156,348,341,294,1.2222222222222223,0.6447920799255371,0.03069901466369629
ER+ER,1000,4.3,2,192,195,153,156,348,340,294,1.2777777777777777,0.650052547454834,0.03147125244140625
ER+ER,1000,4.3,3,192,195,151,154,346,341,294,1.2307692307692308,0.6409742832183838,0.0311429500579834
ER+ER,1000,4.3,4,192,195,162,165,357,339,294,1.2222222222222223,0.6416053771972656,0.032639503479003906
ER+ER,1000,4.3,5,192,195,149,152,344,336,294,1.2,0.6427302360534668,0.02806401252746582
ER+ER,1000,4.3,6,192,195,152,155,347,337,294,1.1886792452830188,0.6312747001647949,0.029005765914916992
ER+ER,1000,4.3,7,192,195,155,158,350,340,294,1.2678571428571428,0.6403777599334717,0.03172016143798828
ER+ER,1000,4.3,8,192,195,154,157,349,341,294,1.290909090909091,0.6418416500091553,0.03300309181213379
ER+ER,1000,4.3,9,192,195,157,160,352,339,294,1.1724137931034482,0.6536426544189453,0.02889847755432129
ER+ER,1000,4.4,0,169,186,135,152,321,316,283,1.2894736842105263,0.6564176082611084,0.028447866439819336
ER+ER,1000,4.4,1,169,186,135,152,321,315,283,1.1578947368421053,0.6644659042358398,0.02609562873840332
ER+ER,1000,4.4,2,169,186,135,152,321,314,283,1.368421052631579,0.6563918590545654,0.028421878814697266
ER+ER,1000,4.4,3,169,186,137,154,323,313,283,1.3,0.6532142162322998,0.027698278427124023
ER+ER,1000,4.4,4,169,186,137,154,323,312,283,1.3,0.6505115032196045,0.02956533432006836
ER+ER,1000,4.4,5,169,186,136,153,322,314,283,1.1025641025641026,0.6527359485626221,0.02679276466369629
ER+ER,1000,4.4,6,169,186,133,150,319,312,283,1.4444444444444444,0.6528081893920898,0.02910780906677246
