type,n,k,gamma,seq,MDS1,MDS2,pre_intersection,intersection,pre_union,union
SF+SF_gamma=3.0,1000,2.5,3.0,9,473,470,245,290,698,653
SF+SF_gamma=3.0,1000,2.6,3.0,0,462,470,246,308,686,624
SF+SF_gamma=3.0,1000,2.6,3.0,1,462,470,252,308,680,624
SF+SF_gamma=3.0,1000,2.6,3.0,2,462,470,242,308,690,624
SF+SF_gamma=3.0,1000,2.6,3.0,3,462,470,242,308,690,624
SF+SF_gamma=3.0,1000,2.6,3.0,4,462,470,244,308,688,624
SF+SF_gamma=3.0,1000,2.6,3.0,5,462,470,250,308,682,624
SF+SF_gamma=3.0,1000,2.6,3.0,6,462,470,243,308,689,624
SF+SF_gamma=3.0,1000,2.6,3.0,7,462,470,249,308,683,624
SF+SF_gamma=3.0,1000,2.6,3.0,8,462,470,253,308,679,624
SF+SF_gamma=3.0,1000,2.6,3.0,9,462,470,246,308,686,624
SF+SF_gamma=3.0,1000,2.7,3.0,0,448,444,217,290,675,602
SF+SF_gamma=3.0,1000,2.7,3.0,1,448,444,228,290,664,602
SF+SF_gamma=3.0,1000,2.7,3.0,2,448,444,224,290,668,602
SF+SF_gamma=3.0,1000,2.7,3.0,3,448,444,234,290,658,602
SF+SF_gamma=3.0,1000,2.7,3.0,4,448,444,229,290,663,602
SF+SF_gamma=3.0,1000,2.7,3.0,5,448,444,232,290,660,602
SF+SF_gamma=3.0,1000,2.7,3.0,6,448,444,214,290,678,602
SF+SF_gamma=3.0,1000,2.7,3.0,7,448,444,221,290,671,602
SF+SF_gamma=3.0,1000,2.7,3.0,8,448,444,226,290,666,602
SF+SF_gamma=3.0,1000,2.7,3.0,9,448,444,226,290,666,602
SF+SF_gamma=3.0,1000,2.8,3.0,0,435,454,222,284,667,605
SF+SF_gamma=3.0,1000,2.8,3.0,1,435,454,229,284,660,605
SF+SF_gamma=3.0,1000,2.8,3.0,2,435,454,224,284,665,605
SF+SF_gamma=3.0,1000,2.8,3.0,3,435,454,224,284,665,605
SF+SF_gamma=3.0,1000,2.8,3.0,4,435,454,229,284,660,605
SF+SF_gamma=3.0,1000,2.8,3.0,5,435,454,223,284,666,605
SF+SF_gamma=3.0,1000,2.8,3.0,6,435,454,222,284,667,605
SF+SF_gamma=3.0,1000,2.8,3.0,7,435,454,225,284,664,605
SF+SF_gamma=3.0,1000,2.8,3.0,8,435,454,229,284,660,605
SF+SF_gamma=3.0,1000,2.8,3.0,9,435,454,232,284,657,605
SF+SF_gamma=3.0,1000,2.9,3.0,0,433,429,198,276,664,586
SF+SF_gamma=3.0,1000,2.9,3.0,1,433,429,207,276,655,586
SF+SF_gamma=3.0,1000,2.9,3.0,2,433,429,205,276,657,586
SF+SF_gamma=3.0,1000,2.9,3.0,3,433,429,206,276,656,586
SF+SF_gamma=3.0,1000,2.9,3.0,4,433,429,211,276,651,586
SF+SF_gamma=3.0,1000,2.9,3.0,5,433,429,203,276,659,586
SF+SF_gamma=3.0,1000,2.9,3.0,6,433,429,216,276,646,586
SF+SF_gamma=3.0,1000,2.9,3.0,7,433,429,204,276,658,586
SF+SF_gamma=3.0,1000,2.9,3.0,8,433,429,207,276,655,586
SF+SF_gamma=3.0,1000,2.9,3.0,9,433,429,208,276,654,586
SF+SF_gamma=3.0,1000,3.0,3.0,0,437,403,219,279,621,561
SF+SF_gamma=3.0,1000,3.0,3.0,1,437,403,208,279,632,561
SF+SF_gamma=3.0,1000,3.0,3.0,2,437,403,218,279,622,561
SF+SF_gamma=3.0,1000,3.0,3.0,3,437,403,209,279,631,561
SF+SF_gamma=3.0,1000,3.0,3.0,4,437,403,214,279,626,561
SF+SF_gamma=3.0,1000,3.0,3.0,5,437,403,206,279,634,561
SF+SF_gamma=3.0,1000,3.0,3.0,6,437,403,210,279,630,561
SF+SF_gamma=3.0,1000,3.0,3.0,7,437,403,209,279,631,561
SF+SF_gamma=3.0,1000,3.0,3.0,8,437,403,220,279,620,561
SF+SF_gamma=3.0,1000,3.0,3.0,9,437,403,213,279,627,561
SF+SF_gamma=3.0,1000,3.1,3.0,0,420,403,189,255,634,568
SF+SF_gamma=3.0,1000,3.1,3.0,1,420,403,198,255,625,568
SF+SF_gamma=3.0,1000,3.1,3.0,2,420,403,194,255,629,568
SF+SF_gamma=3.0,1000,3.1,3.0,3,420,403,187,255,636,568
SF+SF_gamma=3.0,1000,3.1,3.0,4,420,403,191,255,632,568
SF+SF_gamma=3.0,1000,3.1,3.0,5,420,403,189,255,634,568
SF+SF_gamma=3.0,1000,3.1,3.0,6,420,403,200,255,623,568
SF+SF_gamma=3.0,1000,3.1,3.0,7,420,403,191,255,632,568
SF+SF_gamma=3.0,1000,3.1,3.0,8,420,403,192,255,631,568
SF+SF_gamma=3.0,1000,3.1,3.0,9,420,403,186,255,637,568
SF+SF_gamma=3.0,1000,3.2,3.0,0,406,404,184,243,626,567
SF+SF_gamma=3.0,1000,3.2,3.0,1,406,404,181,243,629,567
SF+SF_gamma=3.0,1000,3.2,3.0,2,406,404,187,243,623,567
SF+SF_gamma=3.0,1000,3.2,3.0,3,406,404,188,243,622,567
SF+SF_gamma=3.0,1000,3.2,3.0,4,406,404,177,243,633,567
SF+SF_gamma=3.0,1000,3.2,3.0,5,406,404,184,243,626,567
SF+SF_gamma=3.0,1000,3.2,3.0,6,406,404,179,243,631,567
SF+SF_gamma=3.0,1000,3.2,3.0,7,406,404,183,243,627,567
SF+SF_gamma=3.0,1000,3.2,3.0,8,406,404,171,243,639,567
SF+SF_gamma=3.0,1000,3.2,3.0,9,406,404,180,243,630,567
SF+SF_gamma=3.0,1000,3.3,3.0,0,392,398,173,244,617,546
SF+SF_gamma=3.0,1000,3.3,3.0,1,392,398,177,244,613,546
SF+SF_gamma=3.0,1000,3.3,3.0,2,392,398,175,244,615,546
SF+SF_gamma=3.0,1000,3.3,3.0,3,392,398,182,244,608,546
SF+SF_gamma=3.0,1000,3.3,3.0,4,392,398,177,244,613,546
SF+SF_gamma=3.0,1000,3.3,3.0,5,392,398,188,244,602,546
SF+SF_gamma=3.0,1000,3.3,3.0,6,392,398,173,244,617,546
SF+SF_gamma=3.0,1000,3.3,3.0,7,392,398,166,244,624,546
SF+SF_gamma=3.0,1000,3.3,3.0,8,392,398,177,244,613,546
SF+SF_gamma=3.0,1000,3.3,3.0,9,392,398,180,244,610,546
SF+SF_gamma=3.0,1000,3.4,3.0,0,374,368,155,210,587,532
SF+SF_gamma=3.0,1000,3.4,3.0,1,374,368,152,210,590,532
SF+SF_gamma=3.0,1000,3.4,3.0,2,374,368,151,210,591,532
SF+SF_gamma=3.0,1000,3.4,3.0,3,374,368,145,210,597,532
SF+SF_gamma=3.0,1000,3.4,3.0,4,374,368,152,210,590,532
SF+SF_gamma=3.0,1000,3.4,3.0,5,374,368,146,210,596,532
SF+SF_gamma=3.0,1000,3.4,3.0,6,374,368,148,210,594,532
SF+SF_gamma=3.0,1000,3.4,3.0,7,374,368,158,210,584,532
SF+SF_gamma=3.0,1000,3.4,3.0,8,374,368,149,210,593,532
SF+SF_gamma=3.0,1000,3.4,3.0,9,374,368,149,210,593,532
SF+SF_gamma=3.0,1000,3.5,3.0,0,369,377,162,226,584,520
SF+SF_gamma=3.0,1000,3.5,3.0,1,369,377,169,226,577,520
SF+SF_gamma=3.0,1000,3.5,3.0,2,369,377,174,226,572,520
SF+SF_gamma=3.0,1000,3.5,3.0,3,369,377,165,226,581,520
SF+SF_gamma=3.0,1000,3.5,3.0,4,369,377,169,226,577,520
SF+SF_gamma=3.0,1000,3.5,3.0,5,369,377,166,226,580,520
SF+SF_gamma=3.0,1000,3.5,3.0,6,369,377,162,226,584,520
SF+SF_gamma=3.0,1000,3.5,3.0,7,369,377,166,226,580,520
SF+SF_gamma=3.0,1000,3.5,3.0,8,369,377,174,226,572,520
SF+SF_gamma=3.0,1000,3.5,3.0,9,369,377,163,226,583,520
SF+SF_gamma=3.0,1000,3.6,3.0,0,368,369,155,213,582,524
SF+SF_gamma=3.0,1000,3.6,3.0,1,368,369,148,213,589,524
SF+SF_gamma=3.0,1000,3.6,3.0,2,368,369,158,213,579,524
SF+SF_gamma=3.0,1000,3.6,3.0,3,368,369,152,213,585,524
SF+SF_gamma=3.0,1000,3.6,3.0,4,368,369,153,213,584,524
SF+SF_gamma=3.0,1000,3.6,3.0,5,368,369,150,213,587,524
SF+SF_gamma=3.0,1000,3.6,3.0,6,368,369,158,213,579,524
SF+SF_gamma=3.0,1000,3.6,3.0,7,368,369,155,213,582,524
SF+SF_gamma=3.0,1000,3.6,3.0,8,368,369,147,213,590,524
SF+SF_gamma=3.0,1000,3.6,3.0,9,368,369,156,213,581,524
SF+SF_gamma=3.0,1000,3.7,3.0,0,353,367,150,230,570,490
SF+SF_gamma=3.0,1000,3.7,3.0,1,353,367,149,230,571,490
SF+SF_gamma=3.0,1000,3.7,3.0,2,353,367,155,230,565,490
SF+SF_gamma=3.0,1000,3.7,3.0,3,353,367,145,230,575,490
SF+SF_gamma=3.0,1000,3.7,3.0,4,353,367,159,230,561,490
SF+SF_gamma=3.0,1000,3.7,3.0,5,353,367,151,230,569,490
SF+SF_gamma=3.0,1000,3.7,3.0,6,353,367,150,230,570,490
SF+SF_gamma=3.0,1000,3.7,3.0,7,353,367,153,230,567,490
SF+SF_gamma=3.0,1000,3.7,3.0,8,353,367,146,230,574,490
SF+SF_gamma=3.0,1000,3.7,3.0,9,353,367,145,230,575,490
SF+SF_gamma=3.0,1000,3.8,3.0,0,358,364,141,226,581,496
SF+SF_gamma=3.0,1000,3.8,3.0,1,358,364,140,226,582,496
SF+SF_gamma=3.0,1000,3.8,3.0,2,358,364,141,226,581,496
SF+SF_gamma=3.0,1000,3.8,3.0,3,358,364,138,226,584,496
SF+SF_gamma=3.0,1000,3.8,3.0,4,358,364,141,226,581,496
SF+SF_gamma=3.0,1000,3.8,3.0,5,358,364,141,226,581,496
SF+SF_gamma=3.0,1000,3.8,3.0,6,358,364,139,226,583,496
SF+SF_gamma=3.0,1000,3.8,3.0,7,358,364,146,226,576,496
SF+SF_gamma=3.0,1000,3.8,3.0,8,358,364,142,226,580,496
SF+SF_gamma=3.0,1000,3.8,3.0,9,358,364,133,226,589,496
SF+SF_gamma=3.0,1000,3.9,3.0,0,335,333,137,203,531,465
SF+SF_gamma=3.0,1000,3.9,3.0,1,335,333,128,203,540,465
SF+SF_gamma=3.0,1000,3.9,3.0,2,335,333,141,203,527,465
SF+SF_gamma=3.0,1000,3.9,3.0,3,335,333,133,203,535,465
SF+SF_gamma=3.0,1000,3.9,3.0,4,335,333,136,203,532,465
SF+SF_gamma=3.0,1000,3.9,3.0,5,335,333,141,203,527,465
SF+SF_gamma=3.0,1000,3.9,3.0,6,335,333,136,203,532,465
SF+SF_gamma=3.0,1000,3.9,3.0,7,335,333,137,203,531,465
SF+SF_gamma=3.0,1000,3.9,3.0,8,335,333,132,203,536,465
SF+SF_gamma=3.0,1000,3.9,3.0,9,335,333,126,203,542,465
SF+SF_gamma=3.0,1000,4.0,3.0,0,351,345,132,212,564,484
SF+SF_gamma=3.0,1000,4.0,3.0,1,351,345,142,212,554,484
SF+SF_gamma=3.0,1000,4.0,3.0,2,351,345,137,212,559,484
SF+SF_gamma=3.0,1000,4.0,3.0,3,351,345,134,212,562,484
SF+SF_gamma=3.0,1000,4.0,3.0,4,351,345,150,212,546,484
SF+SF_gamma=3.0,1000,4.0,3.0,5,351,345,141,212,555,484
SF+SF_gamma=3.0,1000,4.0,3.0,6,351,345,140,212,556,484
SF+SF_gamma=3.0,1000,4.0,3.0,7,351,345,136,212,560,484
SF+SF_gamma=3.0,1000,4.0,3.0,8,351,345,137,212,559,484
SF+SF_gamma=3.0,1000,4.0,3.0,9,351,345,143,212,553,484
SF+SF_gamma=3.0,1000,4.1,3.0,0,325,319,128,202,516,442
SF+SF_gamma=3.0,1000,4.1,3.0,1,325,319,133,202,511,442
SF+SF_gamma=3.0,1000,4.1,3.0,2,325,319,125,202,519,442
SF+SF_gamma=3.0,1000,4.1,3.0,3,325,319,120,202,524,442
SF+SF_gamma=3.0,1000,4.1,3.0,4,325,319,127,202,517,442
SF+SF_gamma=3.0,1000,4.1,3.0,5,325,319,124,202,520,442
SF+SF_gamma=3.0,1000,4.1,3.0,6,325,319,127,202,517,442
SF+SF_gamma=3.0,1000,4.1,3.0,7,325,319,132,202,512,442
SF+SF_gamma=3.0,1000,4.1,3.0,8,325,319,125,202,519,442
SF+SF_gamma=3.0,1000,4.1,3.0,9,325,319,127,202,517,442
SF+SF_gamma=3.0,1000,4.2,3.0,0,315,299,102,173,512,441
SF+SF_gamma=3.0,1000,4.2,3.0,1,315,299,107,173,507,441
SF+SF_gamma=3.0,1000,4.2,3.0,2,315,299,111,173,503,441
SF+SF_gamma=3.0,1000,4.2,3.0,3,315,299,111,173,503,441
SF+SF_gamma=3.0,1000,4.2,3.0,4,315,299,109,173,505,441
SF+SF_gamma=3.0,1000,4.2,3.0,5,315,299,106,173,508,441
SF+SF_gamma=3.0,1000,4.2,3.0,6,315,299,111,173,503,441
SF+SF_gamma=3.0,1000,4.2,3.0,7,315,299,112,173,502,441
SF+SF_gamma=3.0,1000,4.2,3.0,8,315,299,110,173,504,441
SF+SF_gamma=3.0,1000,4.2,3.0,9,315,299,106,173,508,441
SF+SF_gamma=3.0,1000,4.3,3.0,0,302,305,116,186,491,421
SF+SF_gamma=3.0,1000,4.3,3.0,1,302,305,107,186,500,421
SF+SF_gamma=3.0,1000,4.3,3.0,2,302,305,114,186,493,421
SF+SF_gamma=3.0,1000,4.3,3.0,3,302,305,120,186,487,421
SF+SF_gamma=3.0,1000,4.3,3.0,4,302,305,120,186,487,421
SF+SF_gamma=3.0,1000,4.3,3.0,5,302,305,122,186,485,421
SF+SF_gamma=3.0,1000,4.3,3.0,6,302,305,112,186,495,421
SF+SF_gamma=3.0,1000,4.3,3.0,7,302,305,118,186,489,421
SF+SF_gamma=3.0,1000,4.3,3.0,8,302,305,107,186,500,421
SF+SF_gamma=3.0,1000,4.3,3.0,9,302,305,114,186,493,421
SF+SF_gamma=3.0,1000,4.4,3.0,0,307,305,106,186,506,426
SF+SF_gamma=3.0,1000,4.4,3.0,1,307,305,101,186,511,426
SF+SF_gamma=3.0,1000,4.4,3.0,2,307,305,105,186,507,426
SF+SF_gamma=3.0,1000,4.4,3.0,3,307,305,102,186,510,426
SF+SF_gamma=3.0,1000,4.4,3.0,4,307,305,111,186,501,426
SF+SF_gamma=3.0,1000,4.4,3.0,5,307,305,109,186,503,426
SF+SF_gamma=3.0,1000,4.4,3.0,6,307,305,99,186,513,426
SF+SF_gamma=3.0,1000,4.4,3.0,7,307,305,108,186,504,426
SF+SF_gamma=3.0,1000,4.4,3.0,8,307,305,97,186,515,426
SF+SF_gamma=3.0,1000,4.4,3.0,9,307,305,104,186,508,426
SF+SF_gamma=3.0,1000,4.5,3.0,0,300,280,94,163,486,417
SF+SF_gamma=3.0,1000,4.5,3.0,1,300,280,97,163,483,417
SF+SF_gamma=3.0,1000,4.5,3.0,2,300,280,95,163,485,417
SF+SF_gamma=3.0,1000,4.5,3.0,3,300,280,95,163,485,417
SF+SF_gamma=3.0,1000,4.5,3.0,4,300,280,93,163,487,417
SF+SF_gamma=3.0,1000,4.5,3.0,5,300,280,93,163,487,417
SF+SF_gamma=3.0,1000,4.5,3.0,6,300,280,97,163,483,417
SF+SF_gamma=3.0,1000,4.5,3.0,7,300,280,84,163,496,417
SF+SF_gamma=3.0,1000,4.5,3.0,8,300,280,102,163,478,417
SF+SF_gamma=3.0,1000,4.5,3.0,9,300,280,91,163,489,417
SF+SF_gamma=3.0,1000,4.6,3.0,0,295,294,104,174,485,415
SF+SF_gamma=3.0,1000,4.6,3.0,1,295,294,110,174,479,415
SF+SF_gamma=3.0,1000,4.6,3.0,2,295,294,100,174,489,415
SF+SF_gamma=3.0,1000,4.6,3.0,3,295,294,103,174,486,415
SF+SF_gamma=3.0,1000,4.6,3.0,4,295,294,96,174,493,415
SF+SF_gamma=3.0,1000,4.6,3.0,5,295,294,102,174,487,415
SF+SF_gamma=3.0,1000,4.6,3.0,6,295,294,102,174,487,415
SF+SF_gamma=3.0,1000,4.6,3.0,7,295,294,104,174,485,415
SF+SF_gamma=3.0,1000,4.6,3.0,8,295,294,106,174,483,415
SF+SF_gamma=3.0,1000,4.6,3.0,9,295,294,108,174,481,415
SF+SF_gamma=3.0,1000,4.7,3.0,0,290,268,104,166,454,392
SF+SF_gamma=3.0,1000,4.7,3.0,1,290,268,90,166,468,392
SF+SF_gamma=3.0,1000,4.7,3.0,2,290,268,94,166,464,392
SF+SF_gamma=3.0,1000,4.7,3.0,3,290,268,92,166,466,392
SF+SF_gamma=3.0,1000,4.7,3.0,4,290,268,94,166,464,392
SF+SF_gamma=3.0,1000,4.7,3.0,5,290,268,98,166,460,392
SF+SF_gamma=3.0,1000,4.7,3.0,6,290,268,94,166,464,392
SF+SF_gamma=3.0,1000,4.7,3.0,7,290,268,96,166,462,392
SF+SF_gamma=3.0,1000,4.7,3.0,8,290,268,94,166,464,392
SF+SF_gamma=3.0,1000,4.7,3.0,9,290,268,83,166,475,392
SF+SF_gamma=3.0,1000,4.8,3.0,0,278,266,94,156,450,388
SF+SF_gamma=3.0,1000,4.8,3.0,1,278,266,92,156,452,388
SF+SF_gamma=3.0,1000,4.8,3.0,2,278,266,89,156,455,388
SF+SF_gamma=3.0,1000,4.8,3.0,3,278,266,84,156,460,388
SF+SF_gamma=3.0,1000,4.8,3.0,4,278,266,92,156,452,388
SF+SF_gamma=3.0,1000,4.8,3.0,5,278,266,95,156,449,388
SF+SF_gamma=3.0,1000,4.8,3.0,6,278,266,85,156,459,388
SF+SF_gamma=3.0,1000,4.8,3.0,7,278,266,92,156,452,388
SF+SF_gamma=3.0,1000,4.8,3.0,8,278,266,96,156,448,388
SF+SF_gamma=3.0,1000,4.8,3.0,9,278,266,91,156,453,388
SF+SF_gamma=3.0,1000,4.9,3.0,0,282,248,91,149,439,381
SF+SF_gamma=3.0,1000,4.9,3.0,1,282,248,84,149,446,381
SF+SF_gamma=3.0,1000,4.9,3.0,2,282,248,82,149,448,381
SF+SF_gamma=3.0,1000,4.9,3.0,3,282,248,94,149,436,381
SF+SF_gamma=3.0,1000,4.9,3.0,4,282,248,90,149,440,381
SF+SF_gamma=3.0,1000,4.9,3.0,5,282,248,88,149,442,381
SF+SF_gamma=3.0,1000,4.9,3.0,6,282,248,84,149,446,381
SF+SF_gamma=3.0,1000,4.9,3.0,7,282,248,84,149,446,381
SF+SF_gamma=3.0,1000,4.9,3.0,8,282,248,87,149,443,381
SF+SF_gamma=3.0,1000,4.9,3.0,9,282,248,90,149,440,381
SF+SF_gamma=3.0,1000,5.0,3.0,0,275,260,80,160,455,375
SF+SF_gamma=3.0,1000,5.0,3.0,1,275,260,73,160,462,375
SF+SF_gamma=3.0,1000,5.0,3.0,2,275,260,77,160,458,375
SF+SF_gamma=3.0,1000,5.0,3.0,3,275,260,84,160,451,375
SF+SF_gamma=3.0,1000,5.0,3.0,4,275,260,84,160,451,375
SF+SF_gamma=3.0,1000,5.0,3.0,5,275,260,86,160,449,375
SF+SF_gamma=3.0,1000,5.0,3.0,6,275,260,83,160,452,375
SF+SF_gamma=3.0,1000,5.0,3.0,7,275,260,83,160,452,375
SF+SF_gamma=3.0,1000,5.0,3.0,8,275,260,84,160,451,375
SF+SF_gamma=3.0,1000,5.0,3.0,9,275,260,86,160,449,375
SF+SF_gamma=3.0,1000,5.1,3.0,0,258,256,78,150,436,364
SF+SF_gamma=3.0,1000,5.1,3.0,1,258,256,82,150,432,364
SF+SF_gamma=3.0,1000,5.1,3.0,2,258,256,72,150,442,364
SF+SF_gamma=3.0,1000,5.1,3.0,3,258,256,78,150,436,364
SF+SF_gamma=3.0,1000,5.1,3.0,4,258,256,71,150,443,364
SF+SF_gamma=3.0,1000,5.1,3.0,5,258,256,81,150,433,364
SF+SF_gamma=3.0,1000,5.1,3.0,6,258,256,81,150,433,364
SF+SF_gamma=3.0,1000,5.1,3.0,7,258,256,77,150,437,364
SF+SF_gamma=3.0,1000,5.1,3.0,8,258,256,79,150,435,364
SF+SF_gamma=3.0,1000,5.1,3.0,9,258,256,89,150,425,364
SF+SF_gamma=3.0,1000,5.2,3.0,0,245,247,76,136,416,356
SF+SF_gamma=3.0,1000,5.2,3.0,1,245,247,71,136,421,356
SF+SF_gamma=3.0,1000,5.2,3.0,2,245,247,64,136,428,356
SF+SF_gamma=3.0,1000,5.2,3.0,3,245,247,70,136,422,356
SF+SF_gamma=3.0,1000,5.2,3.0,4,245,247,77,136,415,356
SF+SF_gamma=3.0,1000,5.2,3.0,5,245,247,72,136,420,356
SF+SF_gamma=3.0,1000,5.2,3.0,6,245,247,64,136,428,356
SF+SF_gamma=3.0,1000,5.2,3.0,7,245,247,65,136,427,356
SF+SF_gamma=3.0,1000,5.2,3.0,8,245,247,75,136,417,356
SF+SF_gamma=3.0,1000,5.2,3.0,9,245,247,75,136,417,356
SF+SF_gamma=3.0,1000,5.3,3.0,0,239,240,68,156,411,323
SF+SF_gamma=3.0,1000,5.3,3.0,1,239,240,77,156,402,323
SF+SF_gamma=3.0,1000,5.3,3.0,2,239,240,67,156,412,323
SF+SF_gamma=3.0,1000,5.3,3.0,3,239,240,69,156,410,323
SF+SF_gamma=3.0,1000,5.3,3.0,4,239,240,68,156,411,323
SF+SF_gamma=3.0,1000,5.3,3.0,5,239,240,68,156,411,323
SF+SF_gamma=3.0,1000,5.3,3.0,6,239,240,70,156,409,323
SF+SF_gamma=3.0,1000,5.3,3.0,7,239,240,65,156,414,323
SF+SF_gamma=3.0,1000,5.3,3.0,8,239,240,71,156,408,323
SF+SF_gamma=3.0,1000,5.3,3.0,9,239,240,61,156,418,323
SF+SF_gamma=3.0,1000,5.4,3.0,0,244,263,83,173,424,334
SF+SF_gamma=3.0,1000,5.4,3.0,1,244,263,79,173,428,334
SF+SF_gamma=3.0,1000,5.4,3.0,2,244,263,84,173,423,334
SF+SF_gamma=3.0,1000,5.4,3.0,3,244,263,82,173,425,334
SF+SF_gamma=3.0,1000,5.4,3.0,4,244,263,100,173,407,334
SF+SF_gamma=3.0,1000,5.4,3.0,5,244,263,82,173,425,334
SF+SF_gamma=3.0,1000,5.4,3.0,6,244,263,78,173,429,334
SF+SF_gamma=3.0,1000,5.4,3.0,7,244,263,90,173,417,334
SF+SF_gamma=3.0,1000,5.4,3.0,8,244,263,80,173,427,334
SF+SF_gamma=3.0,1000,5.4,3.0,9,244,263,81,173,426,334
SF+SF_gamma=3.0,1000,5.5,3.0,0,233,215,70,141,378,307
SF+SF_gamma=3.0,1000,5.5,3.0,1,233,215,68,141,380,307
SF+SF_gamma=3.0,1000,5.5,3.0,2,233,215,62,141,386,307
SF+SF_gamma=3.0,1000,5.5,3.0,3,233,215,66,141,382,307
SF+SF_gamma=3.0,1000,5.5,3.0,4,233,215,74,141,374,307
SF+SF_gamma=3.0,1000,5.5,3.0,5,233,215,64,141,384,307
SF+SF_gamma=3.0,1000,5.5,3.0,6,233,215,54,141,394,307
SF+SF_gamma=3.0,1000,5.5,3.0,7,233,215,67,141,381,307
SF+SF_gamma=3.0,1000,5.5,3.0,8,233,215,63,141,385,307
SF+SF_gamma=3.0,1000,5.5,3.0,9,233,215,63,141,385,307
SF+SF_gamma=3.0,1000,5.6,3.0,0,218,225,66,128,377,315
SF+SF_gamma=3.0,1000,5.6,3.0,1,218,225,69,128,374,315
SF+SF_gamma=3.0,1000,5.6,3.0,2,218,225,62,128,381,315
SF+SF_gamma=3.0,1000,5.6,3.0,3,218,225,60,128,383,315
SF+SF_gamma=3.0,1000,5.6,3.0,4,218,225,65,128,378,315
SF+SF_gamma=3.0,1000,5.6,3.0,5,218,225,59,128,384,315
SF+SF_gamma=3.0,1000,5.6,3.0,6,218,225,67,128,376,315
SF+SF_gamma=3.0,1000,5.6,3.0,7,218,225,60,128,383,315
SF+SF_gamma=3.0,1000,5.6,3.0,8,218,225,61,128,382,315
SF+SF_gamma=3.0,1000,5.6,3.0,9,218,225,64,128,379,315
SF+SF_gamma=3.0,1000,5.7,3.0,0,216,222,67,122,371,316
SF+SF_gamma=3.0,1000,5.7,3.0,1,216,222,68,122,370,316
SF+SF_gamma=3.0,1000,5.7,3.0,2,216,222,61,122,377,316
SF+SF_gamma=3.0,1000,5.7,3.0,3,216,222,57,122,381,316
SF+SF_gamma=3.0,1000,5.7,3.0,4,216,222,66,122,372,316
SF+SF_gamma=3.0,1000,5.7,3.0,5,216,222,63,122,375,316
SF+SF_gamma=3.0,1000,5.7,3.0,6,216,222,59,122,379,316
SF+SF_gamma=3.0,1000,5.7,3.0,7,216,222,57,122,381,316
SF+SF_gamma=3.0,1000,5.7,3.0,8,216,222,52,122,386,316
SF+SF_gamma=3.0,1000,5.7,3.0,9,216,222,58,122,380,316
SF+SF_gamma=3.0,1000,5.8,3.0,0,218,220,55,124,383,314
SF+SF_gamma=3.0,1000,5.8,3.0,1,218,220,63,124,375,314
SF+SF_gamma=3.0,1000,5.8,3.0,2,218,220,54,124,384,314
SF+SF_gamma=3.0,1000,5.8,3.0,3,218,220,58,124,380,314
SF+SF_gamma=3.0,1000,5.8,3.0,4,218,220,66,124,372,314
SF+SF_gamma=3.0,1000,5.8,3.0,5,218,220,62,124,376,314
SF+SF_gamma=3.0,1000,5.8,3.0,6,218,220,57,124,381,314
SF+SF_gamma=3.0,1000,5.8,3.0,7,218,220,58,124,380,314
SF+SF_gamma=3.0,1000,5.8,3.0,8,218,220,59,124,379,314
SF+SF_gamma=3.0,1000,5.8,3.0,9,218,220,61,124,377,314
SF+SF_gamma=3.0,1000,5.9,3.0,0,193,208,55,123,346,278
SF+SF_gamma=3.0,1000,5.9,3.0,1,193,208,53,123,348,278
SF+SF_gamma=3.0,1000,5.9,3.0,2,193,208,52,123,349,278
SF+SF_gamma=3.0,1000,5.9,3.0,3,193,208,53,123,348,278
SF+SF_gamma=3.0,1000,5.9,3.0,4,193,208,48,123,353,278
SF+SF_gamma=3.0,1000,5.9,3.0,5,193,208,53,123,348,278
SF+SF_gamma=3.0,1000,5.9,3.0,6,193,208,49,123,352,278
SF+SF_gamma=3.0,1000,5.9,3.0,7,193,208,51,123,350,278
SF+SF_gamma=3.0,1000,5.9,3.0,8,193,208,51,123,350,278
SF+SF_gamma=3.0,1000,5.9,3.0,9,193,208,56,123,345,278
SF+SF_gamma=3.0,1000,6.0,3.0,0,198,204,41,118,361,284
SF+SF_gamma=3.0,1000,6.0,3.0,1,198,204,46,118,356,284
SF+SF_gamma=3.0,1000,6.0,3.0,2,198,204,52,118,350,284
SF+SF_gamma=3.0,1000,6.0,3.0,3,198,204,47,118,355,284
SF+SF_gamma=3.0,1000,6.0,3.0,4,198,204,49,118,353,284
SF+SF_gamma=3.0,1000,6.0,3.0,5,198,204,46,118,356,284
SF+SF_gamma=3.0,1000,6.0,3.0,6,198,204,49,118,353,284
SF+SF_gamma=3.0,1000,6.0,3.0,7,198,204,45,118,357,284
SF+SF_gamma=3.0,1000,6.0,3.0,8,198,204,46,118,356,284
SF+SF_gamma=3.0,1000,6.0,3.0,9,198,204,46,118,356,284
SF+SF_k=3.0,1000,3.0,2.0,0,716,702,564,606,854,812
SF+SF_k=3.0,1000,3.0,2.0,1,716,702,561,606,857,812
SF+SF_k=3.0,1000,3.0,2.0,2,716,702,563,606,855,812
SF+SF_k=3.0,1000,3.0,2.0,3,716,702,556,606,862,812
SF+SF_k=3.0,1000,3.0,2.0,4,716,702,560,606,858,812
SF+SF_k=3.0,1000,3.0,2.0,5,716,702,565,606,853,812
SF+SF_k=3.0,1000,3.0,2.0,6,716,702,564,606,854,812
